WARNING 2022-10-30 08:34:02,660 django.request Bad Request: /api/instance/6ac42a48-5926-4826-9d8c-3e3341882565/redisgraph/check-module-loaded/
WARNING 2022-10-30 08:34:05,441 django.request Bad Request: /api/instance/6ac42a48-5926-4826-9d8c-3e3341882565/check-redisearch-module-loaded/
WARNING 2022-10-30 08:34:06,199 django.request Bad Request: /api/instance/6ac42a48-5926-4826-9d8c-3e3341882565/redistimeseries/module-info/
WARNING 2022-10-30 08:34:45,603 django.request Bad Request: /api/instance/6ac42a48-5926-4826-9d8c-3e3341882565/add-key/
WARNING 2022-10-30 08:38:00,262 django.request Bad Request: /api/instance/6ac42a48-5926-4826-9d8c-3e3341882565/redisgraph/check-module-loaded/
WARNING 2022-10-30 08:49:22,175 django.request Not Found: /api/instance/6ac42a48-5926-4826-9d8c-3e3341882565/value-details/
WARNING 2022-10-30 08:49:22,194 django.request Not Found: /api/instance/6ac42a48-5926-4826-9d8c-3e3341882565/key-metadata/
WARNING 2022-10-30 08:49:22,236 django.request Not Found: /api/instance/6ac42a48-5926-4826-9d8c-3e3341882565/key-metadata/
WARNING 2022-10-30 08:49:27,517 django.request Not Found: /api/instance/6ac42a48-5926-4826-9d8c-3e3341882565/value-details/
WARNING 2022-10-30 08:49:27,526 django.request Not Found: /api/instance/6ac42a48-5926-4826-9d8c-3e3341882565/key-metadata/
WARNING 2022-10-30 08:49:27,565 django.request Not Found: /api/instance/6ac42a48-5926-4826-9d8c-3e3341882565/key-metadata/
WARNING 2022-10-30 08:49:31,097 django.request Not Found: /api/instance/6ac42a48-5926-4826-9d8c-3e3341882565/key-metadata/
WARNING 2022-10-30 08:49:31,106 django.request Not Found: /api/instance/6ac42a48-5926-4826-9d8c-3e3341882565/value-details/
WARNING 2022-10-30 08:49:31,135 django.request Not Found: /api/instance/6ac42a48-5926-4826-9d8c-3e3341882565/key-metadata/
WARNING 2022-10-30 08:49:52,374 django.request Not Found: /api/instance/6ac42a48-5926-4826-9d8c-3e3341882565/value-details/
WARNING 2022-10-30 08:49:52,383 django.request Not Found: /api/instance/6ac42a48-5926-4826-9d8c-3e3341882565/key-metadata/
WARNING 2022-10-30 08:49:52,419 django.request Not Found: /api/instance/6ac42a48-5926-4826-9d8c-3e3341882565/key-metadata/
WARNING 2022-10-30 08:49:53,709 django.request Not Found: /api/instance/6ac42a48-5926-4826-9d8c-3e3341882565/value-details/
WARNING 2022-10-30 08:49:53,717 django.request Not Found: /api/instance/6ac42a48-5926-4826-9d8c-3e3341882565/key-metadata/
WARNING 2022-10-30 08:49:53,751 django.request Not Found: /api/instance/6ac42a48-5926-4826-9d8c-3e3341882565/key-metadata/
WARNING 2022-10-30 08:49:54,713 django.request Not Found: /api/instance/6ac42a48-5926-4826-9d8c-3e3341882565/value-details/
WARNING 2022-10-30 08:49:54,729 django.request Not Found: /api/instance/6ac42a48-5926-4826-9d8c-3e3341882565/key-metadata/
WARNING 2022-10-30 08:50:11,153 django.request Not Found: /api/instance/6ac42a48-5926-4826-9d8c-3e3341882565/value-details/
WARNING 2022-10-30 08:50:11,158 django.request Not Found: /api/instance/6ac42a48-5926-4826-9d8c-3e3341882565/key-metadata/
WARNING 2022-10-30 08:50:11,191 django.request Not Found: /api/instance/6ac42a48-5926-4826-9d8c-3e3341882565/key-metadata/
WARNING 2022-10-30 08:50:58,821 django.request Not Found: /api/instance/6ac42a48-5926-4826-9d8c-3e3341882565/value-details/
WARNING 2022-10-30 08:50:58,830 django.request Not Found: /api/instance/6ac42a48-5926-4826-9d8c-3e3341882565/key-metadata/
WARNING 2022-10-30 08:50:58,864 django.request Not Found: /api/instance/6ac42a48-5926-4826-9d8c-3e3341882565/key-metadata/
WARNING 2022-10-30 08:51:00,514 django.request Not Found: /api/instance/6ac42a48-5926-4826-9d8c-3e3341882565/value-details/
WARNING 2022-10-30 08:51:00,523 django.request Not Found: /api/instance/6ac42a48-5926-4826-9d8c-3e3341882565/key-metadata/
WARNING 2022-10-30 08:51:00,562 django.request Not Found: /api/instance/6ac42a48-5926-4826-9d8c-3e3341882565/key-metadata/
WARNING 2022-10-30 08:51:06,353 django.request Not Found: /api/instance/6ac42a48-5926-4826-9d8c-3e3341882565/value-details/
WARNING 2022-10-30 08:51:06,363 django.request Not Found: /api/instance/6ac42a48-5926-4826-9d8c-3e3341882565/key-metadata/
WARNING 2022-10-30 08:51:06,401 django.request Not Found: /api/instance/6ac42a48-5926-4826-9d8c-3e3341882565/key-metadata/
WARNING 2022-10-30 08:52:19,256 django.request Not Found: /api/instance/6ac42a48-5926-4826-9d8c-3e3341882565/value-details/
WARNING 2022-10-30 08:52:19,265 django.request Not Found: /api/instance/6ac42a48-5926-4826-9d8c-3e3341882565/key-metadata/
WARNING 2022-10-30 08:52:19,302 django.request Not Found: /api/instance/6ac42a48-5926-4826-9d8c-3e3341882565/key-metadata/
WARNING 2022-10-30 08:52:21,181 django.request Not Found: /api/instance/6ac42a48-5926-4826-9d8c-3e3341882565/value-details/
WARNING 2022-10-30 08:52:21,186 django.request Not Found: /api/instance/6ac42a48-5926-4826-9d8c-3e3341882565/key-metadata/
WARNING 2022-10-30 08:52:21,215 django.request Not Found: /api/instance/6ac42a48-5926-4826-9d8c-3e3341882565/key-metadata/
WARNING 2022-10-30 08:52:22,185 django.request Not Found: /api/instance/6ac42a48-5926-4826-9d8c-3e3341882565/value-details/
WARNING 2022-10-30 08:52:22,193 django.request Not Found: /api/instance/6ac42a48-5926-4826-9d8c-3e3341882565/key-metadata/
WARNING 2022-10-30 08:52:22,223 django.request Not Found: /api/instance/6ac42a48-5926-4826-9d8c-3e3341882565/key-metadata/
WARNING 2022-10-30 08:52:51,610 django.request Not Found: /api/instance/6ac42a48-5926-4826-9d8c-3e3341882565/value-details/
WARNING 2022-10-30 08:52:51,635 django.request Not Found: /api/instance/6ac42a48-5926-4826-9d8c-3e3341882565/key-metadata/
WARNING 2022-10-30 08:53:04,037 django.request Not Found: /api/instance/6ac42a48-5926-4826-9d8c-3e3341882565/value-details/
WARNING 2022-10-30 08:53:04,040 django.request Not Found: /api/instance/6ac42a48-5926-4826-9d8c-3e3341882565/key-metadata/
